,0,1
16095,,2022-05-06 18:41:51
16058,И что люди должны свой счет на работе брать? Время конечно выбрано..,2022-04-27 10:14:53
15977,Радостная новость для жителей ближайших домов.,2022-04-13 19:25:14
15978,А она не воняет типо,2022-04-13 19:56:42
15979,Хорошо бы всё равно пробить Мангальную зону в нашем районе.,2022-04-14 03:35:40
15980,Очень жаль (,2022-04-14 04:34:52
15981,"На даче пожарите ,без пьяных выходок в парке",2022-04-14 06:47:23
15982,Мы с такой шашлычной при входе в Лосиный остров разобрались очень быстро тк. по факту это распивочная где люди бухали . Подняли этот вопрос при встрече жителей с главой управы Бурцевым Теперь там уже несколько лет вело прокат все довольны,2022-04-14 07:33:34
15985,Слава Богу!,2022-04-14 14:25:43
15988,Вместо шашлыков будем нюхать лошадиное говно,2022-04-14 15:39:50
15895,Ремонтируют или отделывают? Разный смысл.... построили  и ремотируют  сразу или сделали хорошо осталось отделать? Или кап ремонт?,2022-03-30 19:28:54
15886,"Год назад уже про это писали.
На самом деле там почти уже всё готово - осталось соединить парк Яуза с ВДНХ через проезд Серебрякова",2022-03-30 09:49:43
15815,Так уже недавно ремонтировали,2022-03-22 14:13:26
15763,"1 снимок Мост над Яузой на Березовой аллее, 1907 год (109 лет назад) 
Направление съемки — север.",2022-03-14 00:40:22
15728,Информацию о прошедших проектах и реализованных идеях можно увидеть здесь -> https://crowd.mos.ru/archive.,2022-03-05 07:32:52
15722,Класс👍,2022-03-03 22:58:03
15702,"Лучше бы оставили павильон старый, но действующий, чем новый вечно ремонтирующийся",2022-02-27 07:13:18
15649,"А почему без пробок доехать до Санкт-Петербурга, Казани и Севастополя нужно всенепременно через Свиблово!?🤔
Свиблово - середина всех дорог!?",2022-02-12 08:48:05
15652,Хочу в Калининград через Свиблово,2022-02-12 17:55:56
15620,Спасибо!,2022-02-03 07:21:43
15626,"А что он был сломан? 🤔
Его просто не до делали, как и все🤔🤔",2022-02-04 11:16:55
15539,"Ехал, ехал, а воды ж не видели. Место попроще, где её нет, нельзя выбрать?)",2022-01-10 20:06:14
15492,В парке Яуза каждый день таких встречаю,2021-12-20 17:23:26
15449,"Добрый день! В ходе механической обработки тротуара просыпался реагент, с начальником участка проведена разъяснительная беседа. Тротуар убран.",2021-12-10 08:16:44
15437,"Почему без масок, и не придерживаются дистанции 1,5м?Одни нарушения на фото",2021-12-02 18:02:02
15438,"И зачем это всё строить, если половина населения скоро на тот свет уйдёт, с такими приколами как в России?",2021-12-02 18:04:02
15439,"Открытая эстакада СВХ в районе ТПУ ""Ботанический сад"" (видео в качестве 4К): https://www.youtube.com/watch?v=75Pgo0VikWg а также панорама 360 градусов на пересечении с ул. Вильгельма Пика: https://goo.gl/maps/TcAhzVfvVsqEfbLV8",2021-12-03 06:20:52
15435,Если это пешеходная часть то должен быть знак.,2021-12-01 18:58:10
15423,*17-летняя девочка*,2021-11-30 18:50:19
15424,Эскалатор - не аттракцион,2021-11-30 19:13:25
15425,Проверку безопасности чего? Её мозга?),2021-11-30 19:46:55
15426,"Пздц , мозги проверить надо",2021-12-01 04:31:55
15427,,2021-12-01 04:32:09
15428,Курица сама виновата,2021-12-01 04:35:11
15279,"А как вы предполагали что её решат? Уберут? Так вопрос в другом почему поставили, а стекло не вставили?",2021-10-25 19:20:58
15260,Спасибо что приняли меры 🤝💪,2021-10-21 15:45:53
15234,"Возникает много вопросов к этому ролику, а почему без очереди?",2021-10-18 06:22:56
15189,Какие убытки? Семян самых дешëвых однолеток?))) их собирать и до следующего года хранить  явно никто не собирался. Пусть хоть кому-то радость принесут))),2021-10-08 08:37:56
15190,А вот фоткать и выкладывать фото человека без его разрешения - вот это уже попахивает разбирательством...,2021-10-08 08:38:49
15180,Когда зарыбление?,2021-10-06 11:07:26
15155,"Здорово, а про периодически переполняющиеся мусорные баки газета рассказать не хочет?",2021-09-29 19:21:57
15097,"Сидит три дня на стуле, глядя в телефон?",2021-09-17 13:36:36
15019,https://stroi.mos.ru/mobile/construction/1087 этот чтоли?,2021-09-09 11:51:20
14976,"Честно говоря весна, лето и осень без пруда ну ОЧЕНЬ хреново😱быстрей бы уже все закончилось, чтобы можно было круги нарезать вокруг красоты!!! 🙏🙏🙏🌝✌✌✌🌞🚴🚴🚴🚴🌞",2021-09-04 15:45:44
14999,Спасибо! Наш официальный сайт https://www.otkazniki.ru/events/permanent/kryshechki/,2021-09-07 21:00:38
